"","Entity.A.Type","Entity.A","Entity.B.Type","Entity.B","Connection"
"463","Organization","DJT OPERATIONS II LLC","Organization","TAG AIR, INC.","Ownership"
"1303","Organization","DSN LICENSING MEMBER CORP.","Organization","DSN LICENSING LLC","Ownership"
"1305","Organization","DT APP WARRANT HOLDING MANAGING MEMBER CORP.","Organization","DT APP WARRANT HOLDING LLC","Ownership"
"1306","Organization","DT BALI GOLF MANAGER MEMBER CORP.","Organization","DT BALI GOLF MANAGER LLC","Ownership"
"1307","Organization","DT BALI HOTEL MANAGER MEMBER CORP.","Organization","DT BALI HOTEL MANAGER LLC","Ownership"
"1308","Organization","DT BALI TECHNICAL SERVICES MANAGER MEMBER CORP.","Organization","DT BALI TECHNICAL SERVICES MANAGER LLC","Ownership"
"1311","Organization","DT CONNECT II MEMBER CORP.","Organization","DT CONNECT II LLC","Ownership"
"1312","Organization","DT CONNECT MANAGING MEMBER CORP.","Organization","DT CONNECT LLC","Ownership"
"1313","Organization","DT DUBAI GOLF MANAGER MEMBER CORP.","Organization","DT DUBAI GOLF MANAGER LLC","Ownership"
"1314","Organization","DT DUBAI II GOLF MANAGER MEMBER CORP.","Organization","DT DUBAI II GOLF MANAGER LLC","Ownership"
"1315","Organization","DT HOME MARKS INTERNATIONAL MEMBER CORP.","Organization","DT HOME MARKS INTERNATIONAL LLC","Ownership"
"1316","Organization","DT INDIA VENTURE LLC","Organization","DT INDIA VENTURE MANAGING MEMBER CORP.","Ownership"
"1317","Organization","DT JEDDAH TECHNICAL SERVICES ADVISOR MEMBER CORP.","Organization","DT JEDDAH TECHNICAL SERVICES ADVISOR LLC","Ownership"
"1318","Organization","DT JEDDAH TECHNICAL SERVICES MANAGER MEMBER CORP.","Organization","DT JEDDAH TECHNICAL SERVICES MANAGER LLC","Ownership"
"1319","Organization","DT LIDO GOLF MANAGER MEMBER CORP.","Organization","DT LIDO GOLF MANAGER LLC","Ownership"
"1320","Organization","DT LIDO HOTEL MANAGER MEMBER CORP.","Organization","DT LIDO HOTEL MANAGER LLC","Ownership"
"1321","Organization","DT LIDO TECHNICAL SERVICES MANAGER MEMBER CORP.","Organization","DT LIDO TECHNICAL SERVICES MANAGER LLC","Ownership"
"1322","Organization","DT MARKS BAKU MANAGING MEMBER CORP.","Organization","DT MARKS BAKU LLC","Ownership"
"1323","Organization","DT MARKS BALI MEMBER CORP.","Organization","DT MARKS BALI LLC","Ownership"
"1324","Organization","DT MARKS DUBAI II MEMBER CORP.","Organization","DT MARKS DUBAI II LLC","Ownership"
"1325","Organization","DT MARKS DUBAI MEMBER CORP.","Organization","DT MARKS DUBAI LLC","Ownership"
"1326","Organization","DT MARKS GURGAON MANAGING MEMBER CORP.","Organization","DT MARKS GURGAON LLC","Ownership"
"1327","Organization","DT MARKS LIDO MEMBER CORP.","Organization","DT MARKS LIDO LLC","Ownership"
"1328","Organization","DT MARKS PRODUCTS INTERNATIONAL MEMBER CORP.","Organization","DT MARKS PRODUCTS INTERNATIONAL LLC","Ownership"
"1329","Organization","DT MARKS PUNE II MANAGING MEMBER CORP.","Organization","DT MARKS PUNE II LLC","Ownership"
"1330","Organization","DT MARKS PUNE MANAGING MEMBER CORP.","Organization","DT MARKS PUNE LLC","Ownership"
"1331","Organization","DT MARKS QATAR MEMBER CORP.","Organization","DT MARKS QATAR LLC","Ownership"
"1333","Organization","DT MARKS RIO MEMBER CORP.","Organization","DT MARKS RIO LLC","Ownership"
"1334","Organization","DT MARKS VANCOUVER MANAGER CORP.","Organization","DT MARKS VANCOUVER LP","Ownership"
"1335","Organization","DT MARKS WORLI MEMBER CORP.","Organization","DT MARKS WORLI LLC","Ownership"
"1336","Organization","DT TOWER GURGAON MANAGING MEMBER CORP.","Organization","DT TOWER GURGAON LLC","Ownership"
"1337","Organization","DT TOWER I MEMBER CORP.","Organization","DT TOWER I LLC","Ownership"
"1338","Organization","DT TOWER KOLKATA MANAGING MEMBER CORP.","Organization","DT TOWER KOLKATA LLC","Ownership"
"1339","Organization","DTTM OPERATIONS LLC","Organization","THC VENTURE III LLC","Ownership"
"1340","Organization","DTTM OPERATIONS MANAGING MEMBER CORP.","Organization","DTTM OPERATIONS LLC","Ownership"
"1341","Organization","DUKE UNIVERSITY","Organization","THRIVE CAPITAL","Investor"
"1346","Organization","EDWARD D. JONES & CO.","Organization","THE BRIDGE BUILDER FUNDS","Ownership"
"1352","Organization","EID VENTURE II MEMBER CORP.","Organization","EID VENTURE II LLC","Ownership"
"1428","Organization","EXCEL VENTURE I CORP.","Organization","EXCEL VENTURE I LLC","Ownership"
"1438","Organization","FIFTY-SEVEN MANAGEMENT CORP.","Organization","FIFTY-SEVENTH STREET ASSOCIATES LLC","Ownership"
"1439","Organization","FIRST MEMBER, INC.","Organization","TRUMP PALACE/PARC LLC","Ownership"
"1445","Organization","FORTE CAPITAL ADVISORS","Organization","USTC HOLDINGS, LLC","Ownership"
"1457","Organization","GALBREATH COLUMBUS CIRCLE DEVELOPMENT ASSOCIATES, LP","Organization","ONE CENTRAL PARK WEST ASSOCIATES","Ownership"
"1484","Organization","GEPT DELMONICO LLC","Organization","TRUMP PARK AVENUE LLC","Ownership"
"1498","Organization","GOLDMAN SACHS","Organization","INTERNET GAMING ENTERTAINMENT","Investor"
"1500","Organization","GOLDMAN SACHS","Organization","REALCADRE LLC","Investor"
"1501","Organization","GOLF PRODUCTIONS MEMBER CORP.","Organization","GOLF PRODUCTIONS LLC","Ownership"
"1502","Organization","GOLF RECREATION SCOTLAND LIMITED","Organization","DT CONNECT EUROPE LIMITED","Ownership"
"1503","Organization","GOLF RECREATION SCOTLAND LIMITED","Organization","TRUMP TURNBERRY","Ownership"
"1515","Organization","HALL CAPITAL PARTNERS","Organization","THRIVE CAPITAL","Investor"
"1531","Organization","HUDSON WATERFRONT ASSOCIATES I, L.P.","Organization","HWA 555 OWNERS, LLC","Ownership"
"1532","Organization","HUDSON WATERFRONT ASSOCIATES III, L.P.","Organization","HWA 1290 III LLC","Ownership"
"1533","Organization","HUDSON WATERFRONT ASSOCIATES IV, L.P.","Organization","HWA 1290 IV LLC","Ownership"
"1534","Organization","HUDSON WATERFRONT ASSOCIATES V, L.P.","Organization","HWA 1290 V LLC","Ownership"
"1535","Organization","HUDSON WATERFRONT CORPORATION","Organization","HUDSON WATERFRONT ASSOCIATES, L.P.","Ownership"
